Product_ID,Region,Month,Demand
P13,R10,38,61.638289114960926
P13,R11,38,25.748716757763706
P13,R12,38,20.521479875352238
P13,R18,38,20.503161863250142
P13,R3,38,41.072537380418076
P13,R6,38,155.61695713840288
P13,R8,38,51.46144136381548
P14,R6,38,301.1331801608578
P15,R11,38,873.3452270401629
P16,R10,38,15.791578807582448
P16,R4,38,9.890474131165774
P16,R6,38,195.8732614346312
P17,R6,38,40.45722726142952
P19,R10,38,8.919005304699759
P19,R11,38,5.593154880786372
P19,R12,38,7.816536398056089
P19,R13,38,3.3595738228202707
P19,R14,38,7.8133712960626145
P19,R15,38,10.067320882345925
P19,R16,38,8.946811969513597
P19,R17,38,7.83532405341008
P19,R18,38,0.05696506371130535
P19,R2,38,5.5847155515016995
P19,R3,38,39.224561188500935
P19,R4,38,26.87476863635066
P19,R5,38,0.01521646723099729
P19,R6,38,39.17575573785647
P19,R7,38,1.1687177251910672
P19,R8,38,8.915172315184929
P19,R9,38,0.013105445974301123
P22,R10,38,53.816640360389144
P22,R11,38,53.86510423636925
P22,R15,38,0.01204889615841052
P22,R18,38,38.35098938670299
P22,R3,38,45.99665545676021
P22,R4,38,7.678503498464098
P22,R6,38,576.803289120342
P22,R7,38,0.15026705516158775
P22,R8,38,53.79606991653801
P22,R9,38,0.10803765575308408
P23,R11,38,1340.1011544480734
P24,R10,38,92.02532341105095
P24,R6,38,13.261628127493221
P25,R7,38,68.88134188735226
P26,R3,38,6.7545673767389705
P26,R4,38,51.05364936569256
P26,R6,38,110.55169502224292
P27,R3,38,14.010530541303673
P27,R6,38,14.009934196408553
P29,R4,38,40.88876839783782
P29,R6,38,45.264347997274825
P3,R11,38,27.631852543868924
P3,R18,38,178.26780103381958
P3,R5,38,22.46044535349625
P3,R7,38,61.216149274171286
P3,R8,38,278.1039435254326
P31,R11,38,231.43839507666507
P31,R6,38,9.860493064986429
P31,R7,38,9.858969448235772
P33,R11,38,0.987295182399926
P33,R18,38,0.13442817067985002
P33,R6,38,0.09072800528878763
P33,R7,38,0.23424697537887035
P33,R8,38,0.2505815584737046
P34,R11,38,16.351694605598244
P34,R12,38,0.030626631466088745
P34,R15,38,46.54822115718604
P34,R18,38,62.82219554585656
P34,R7,38,42.00646168254957
P34,R8,38,55.91260884374939
P34,R9,38,11.603358571953367
P35,R11,38,843.8461844268498
P35,R18,38,76.76388407198317
P35,R9,38,51.39113184074989
P36,R11,38,11.965304161365529
P36,R4,38,18.884264870296775
P36,R6,38,37.775371999358065
P37,R11,38,342.99836700160785
P37,R16,38,5.759127469621233
P37,R7,38,68.56665342097929
P37,R8,38,97.13270510607306
P37,R9,38,45.60507771851678
P39,R5,38,58.302324022961606
P39,R6,38,22.37182642079441
P4,R11,38,7355.812495998794
P40,R6,38,962.2932461650606
P41,R6,38,1998.4121200425986
P43,R11,38,78.06874268093397
P43,R12,38,26.044872893624934
P43,R15,38,423.3982549141362
P43,R18,38,19.454172522648488
P43,R4,38,110.85993127837591
P43,R6,38,26.163974492247828
P43,R7,38,39.04159659896701
P47,R11,38,12.544616156624622
P47,R15,38,13.535419460663116
P47,R18,38,1.5246054640004743
P47,R6,38,22.07258167246529
P51,R18,38,349.27931732990197
P57,R11,38,125.80553440512143
P57,R15,38,0.0029370219431071373
P57,R18,38,75.95047316968099
P57,R9,38,19.528572153886987
P58,R10,38,8.078254781591719
P58,R11,38,56.56872547299038
P58,R12,38,22.268784592678234
P58,R15,38,14.172236880486519
P58,R18,38,12.102449137567744
P58,R6,38,36.393524882094155
P58,R7,38,20.126724663640974
P58,R8,38,10.045511850567934
P58,R9,38,32.35075954849545
P60,R11,38,5.559278081989987
P60,R18,38,109.72999578643051
P61,R11,38,98.74542462871857
P61,R18,38,1.0388039591452194
P61,R8,38,2.06014520975133
P62,R11,38,1.356243601376676
P64,R18,38,54.747448240591325
P65,R6,38,65.94824705356963
P66,R6,38,24.150176363119737
P67,R11,38,1.386713889778945
P67,R15,38,0.8553402113459846
P67,R18,38,0.261889355082683
P67,R6,38,0.1497155586054212
P67,R7,38,0.979066733311494
P68,R11,38,32.12266746247057
P68,R15,38,72.45327577112481
P68,R18,38,4.973885716495023
P68,R6,38,21.003633035005286
P68,R7,38,25.747175956945075
P69,R15,38,182.79358866619825
P69,R6,38,2.8826017627944664
P71,R11,38,2.53008028876058
P71,R7,38,2.630792248154473
P72,R11,38,110.73420241186905
P72,R18,38,103.79337133895508
P72,R6,38,131.4481742467552
P73,R15,38,61.01773296820489
P74,R11,38,21.24683193764089
P74,R15,38,70.40988399048605
P74,R18,38,6.650591361716199
P74,R4,38,5.2911627970384565
P74,R6,38,35.85677798298649
P75,R18,38,72.53571442748918
P75,R7,38,0.7454492561400885
P77,R18,38,294.40806123553693
P8,R10,38,100.63269047106182
P8,R11,38,143.76820839806982
P8,R12,38,6.269925898170004
P8,R14,38,212.82074938618698
P8,R15,38,0.14885354977263346
P8,R18,38,37.27454945120832
P8,R5,38,50.28531091558861
P8,R7,38,43.50647039771129
P8,R8,38,81.19597133031223
P9,R10,38,443.50674700873276
P9,R11,38,174.45833445451117
P9,R12,38,70.0912053435885
P9,R14,38,199.32258182680843
P9,R15,38,58.347590158327506
P9,R18,38,12.059801721633926
P9,R3,38,35.37452259673153
P9,R5,38,129.26001948451307
P9,R8,38,0.4199930827559962
P9,R9,38,140.2276027248783
